name,class,VIP,ttest_p,utest_p,FC,fdr_adjust_ttest_p,bonferroni_adjust_utest_p,log2FoldChange,pvalue
Uridine 5'-diphospho-N-acetylglucosamine,"Nucleosides, nucleotides, and analogues",1.172220285,0.047570119,0.072105672,1.251120722,0.120074684,1,0.323221004,0.047570119
5'-AMP monohydrate,"Nucleosides, nucleotides, and analogues",1.149918337,0.047595533,0.013986014,1.676680861,0.120074684,1,0.745608113,0.047595533
DL-Pipecolic acid,Organic acids,1.696154592,0.000101515,0.0003108,1.505095432,0.004647132,0.384149184,0.589854965,0.000101515
Methanolphosphate,Organic acids,1.493773087,0.000848377,0.0003108,1.792471597,0.013273348,0.384149184,0.841950259,0.000848377
L-Pipecolate,Organic acids,1.35567387,0.001081511,0.000621601,1.639129745,0.014852758,0.768298368,0.712930055,0.001081511
N-Ethylglycine,Organic acids,1.365524697,0.004230239,0.009324009,1.742216857,0.030972927,1,0.80092421,0.004230239
DL-Homoserine,Organic acids,1.336930407,0.004258923,0.020512821,1.594227314,0.030972927,1,0.672857351,0.004258923
L-Isoleucine,Organic acids,1.300178133,0.005092225,0.002175602,1.268057863,0.034704391,1,0.342620579,0.005092225
Fumarate,Organic acids,1.348534878,0.007515224,0.003729604,1.436506744,0.040978247,1,0.522564766,0.007515224
Butenedioic acid,Organic acids,1.35559962,0.00811892,0.003729604,1.46759209,0.042521124,1,0.553451034,0.00811892
DL-Alanine,Organic acids,1.32043924,0.008955242,0.009324009,1.191575883,0.04442925,1,0.25287083,0.008955242
Creatine,Organic acids,1.227602364,0.011026825,0.003729604,1.384037587,0.050478353,1,0.468883124,0.011026825
Isoleucine,Organic acids,1.323671406,0.01126002,0.009324009,1.685766593,0.05048968,1,0.753404798,0.01126002
2-Hydroxybutanoic acid,Organic acids,1.388519276,0.01126743,0.028904429,1.707223181,0.05048968,1,0.77165167,0.01126743
L-Tyrosine,Organic acids,0.803480194,0.01165096,0.005905206,1.807927704,0.051430665,1,0.854336988,0.01165096
3-Hydroxybutyric acid,Organic acids,1.369195447,0.012136509,0.003729604,1.619505676,0.052634123,1,0.695553525,0.012136509
Glycine,Organic acids,1.533434285,0.013781476,0.000621601,1.884597578,0.056032581,0.768298368,0.914256495,0.013781476
